timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
10th < 2015,usa < kansas,usa < missouri,power,1.0382483180185825e-11,expExc
10th < 2020,usa < kansas,usa < missouri,power,1.0382483180185825e-11,expExc
10th < 2015,usa < kansas,usa < nebraska,power,2.204132487627515e-10,expExc
10th < 2020,usa < kansas,usa < nebraska,power,2.204132487627515e-10,expExc
10th < 2015,usa < kansas,usa < oklahoma,power,1.0558335466214854e-9,expExc
10th < 2020,usa < kansas,usa < oklahoma,power,1.0558335466214854e-9,expExc
10th < 2015,usa < kentucky,usa < missouri,power,1.6311208295314649e-9,expExc
10th < 2020,usa < kentucky,usa < missouri,power,1.6311208295314649e-9,expExc
10th < 2015,usa < kentucky,usa < ohio,power,2.503927470285572,expExc
10th < 2020,usa < kentucky,usa < ohio,power,2.503927470285572,expExc
10th < 2015,usa < kentucky,usa < tennessee,power,0.016704567977805188,expExc
10th < 2020,usa < kentucky,usa < tennessee,power,0.016704567977805188,expExc
10th < 2015,usa < kentucky,usa < virginia,power,1.1196499358666805e-11,expExc
10th < 2020,usa < kentucky,usa < virginia,power,1.1196499358666805e-11,expExc
10th < 2015,usa < kentucky,usa < westVirginia,power,9.983956332851413e-12,expExc
10th < 2020,usa < kentucky,usa < westVirginia,power,9.983956332851413e-12,expExc
10th < 2015,usa < louisiana,usa < mississippi,power,9.463249859220698e-12,expExc
10th < 2020,usa < louisiana,usa < mississippi,power,9.463249859220698e-12,expExc
10th < 2015,usa < louisiana,usa < texas,power,1.042406788473119e-11,expExc
10th < 2020,usa < louisiana,usa < texas,power,1.042406788473119e-11,expExc
10th < 2015,usa < maine,usa < newHampshire,power,1.4710037672768386e-11,expExc
10th < 2020,usa < maine,usa < newHampshire,power,1.4710037672768386e-11,expExc
10th < 2015,usa < maryland,usa < pennsylvania,power,1.8333339439358764e-11,expExc
10th < 2020,usa < maryland,usa < pennsylvania,power,1.8333339439358764e-11,expExc
10th < 2015,usa < maryland,usa < virginia,power,1.2230737174828214e-11,expExc
10th < 2020,usa < maryland,usa < virginia,power,1.2230737174828214e-11,expExc
10th < 2015,usa < maryland,usa < westVirginia,power,1.0471289937816334e-11,expExc
10th < 2020,usa < maryland,usa < westVirginia,power,1.0471289937816334e-11,expExc
10th < 2015,usa < massachusetts,usa < newHampshire,power,1.0071789276550017e-11,expExc
10th < 2020,usa < massachusetts,usa < newHampshire,power,1.0071789276550017e-11,expExc
10th < 2015,usa < massachusetts,usa < newYork,power,1.0326760478855395e-11,expExc
10th < 2020,usa < massachusetts,usa < newYork,power,1.0326760478855395e-11,expExc
10th < 2015,usa < massachusetts,usa < rhodeIsland,power,9.731741331048323e-12,expExc
10th < 2020,usa < massachusetts,usa < rhodeIsland,power,9.731741331048323e-12,expExc
10th < 2015,usa < massachusetts,usa < vermont,power,1.0053954245250678e-11,expExc
10th < 2020,usa < massachusetts,usa < vermont,power,1.0053954245250678e-11,expExc
10th < 2015,usa < michigan,usa < ohio,power,1.4737497725190653e-11,expExc
10th < 2020,usa < michigan,usa < ohio,power,1.4737497725190653e-11,expExc
10th < 2015,usa < michigan,usa < wisconsin,power,1.53856720139985e-11,expExc
10th < 2020,usa < michigan,usa < wisconsin,power,1.53856720139985e-11,expExc
10th < 2015,usa < minnesota,usa < northDakota,power,1.0148099222701894e-11,expExc
10th < 2020,usa < minnesota,usa < northDakota,power,1.0148099222701894e-11,expExc
10th < 2015,usa < minnesota,usa < southDakota,power,1.0468195636329122e-11,expExc
10th < 2020,usa < minnesota,usa < southDakota,power,1.0468195636329122e-11,expExc
10th < 2015,usa < minnesota,usa < wisconsin,power,1.468227307340456e-11,expExc
10th < 2020,usa < minnesota,usa < wisconsin,power,1.468227307340456e-11,expExc
10th < 2015,usa < mississippi,usa < tennessee,power,1.8878147518926988e-11,expExc
10th < 2020,usa < mississippi,usa < tennessee,power,1.8878147518926988e-11,expExc
10th < 2015,usa < missouri,usa < nebraska,power,3.7232991116583984e-10,expExc
10th < 2020,usa < missouri,usa < nebraska,power,3.7232991116583984e-10,expExc
10th < 2015,usa < missouri,usa < oklahoma,power,0.7883969790808326,expExc
10th < 2020,usa < missouri,usa < oklahoma,power,0.7883969790808326,expExc
10th < 2015,usa < missouri,usa < tennessee,power,0.5326022799559997,expExc
10th < 2020,usa < missouri,usa < tennessee,power,0.5326022799559997,expExc
10th < 2015,usa < montana,usa < northDakota,power,1.571279196936901e-11,expExc
10th < 2020,usa < montana,usa < northDakota,power,1.571279196936901e-11,expExc
10th < 2015,usa < montana,usa < southDakota,power,1.8084194272607662e-9,expExc
10th < 2020,usa < montana,usa < southDakota,power,1.8084194272607662e-9,expExc
10th < 2015,usa < montana,usa < wyoming,power,1.038743747859493e-11,expExc
10th < 2020,usa < montana,usa < wyoming,power,1.038743747859493e-11,expExc
10th < 2015,usa < nebraska,usa < southDakota,power,1.9384792610914722e-11,expExc
10th < 2020,usa < nebraska,usa < southDakota,power,1.9384792610914722e-11,expExc
10th < 2015,usa < nebraska,usa < wyoming,power,4.6843957996201574e-11,expExc
10th < 2020,usa < nebraska,usa < wyoming,power,4.6843957996201574e-11,expExc
10th < 2015,usa < nevada,usa < oregon,power,1.996324405708222e-9,expExc
10th < 2020,usa < nevada,usa < oregon,power,1.996324405708222e-9,expExc
10th < 2015,usa < nevada,usa < utah,power,1.1452350435183206e-11,expExc
10th < 2020,usa < nevada,usa < utah,power,1.1452350435183206e-11,expExc
10th < 2015,usa < newHampshire,usa < vermont,power,9.746116741453913e-12,expExc
10th < 2020,usa < newHampshire,usa < vermont,power,9.746116741453913e-12,expExc
10th < 2015,usa < newJersey,usa < newYork,power,1.8019852058898473e-9,expExc
10th < 2020,usa < newJersey,usa < newYork,power,1.8019852058898473e-9,expExc
10th < 2015,usa < newJersey,usa < pennsylvania,power,1.0232050854390416e-11,expExc
10th < 2020,usa < newJersey,usa < pennsylvania,power,1.0232050854390416e-11,expExc
10th < 2015,usa < newMexico,usa < oklahoma,power,8.158362834745903e-9,expExc
10th < 2020,usa < newMexico,usa < oklahoma,power,8.158362834745903e-9,expExc
10th < 2015,usa < newMexico,usa < texas,power,9.176271790633557,expExc
