carrier_1,region_2,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
hydrogen,noreste,texas,costVarExc,0.32,capaExcResi,100,expExcFix,0
hydrogen,noroeste,norte,costVarExc,0.18,capaExcResi,100,expExcFix,0
hydrogen,noroeste,occidental,costVarExc,0.22,capaExcResi,100,expExcFix,0
hydrogen,norte,occidental,costVarExc,0.25,capaExcResi,100,expExcFix,0
hydrogen,norte,texas,costVarExc,0.75,capaExcResi,100,expExcFix,0
hydrogen,northCarolina,southCarolina,costVarExc,0.26,capaExcResi,100,expExcFix,0
hydrogen,northCarolina,tennessee,costVarExc,0.65,capaExcResi,100,expExcFix,0
hydrogen,northCarolina,virginia,costVarExc,0.2,capaExcResi,100,expExcFix,0
hydrogen,northDakota,southDakota,costVarExc,0.24,capaExcResi,100,expExcFix,0
hydrogen,occidental,oriental,costVarExc,0.14,capaExcResi,100,expExcFix,0
hydrogen,ohio,pennsylvania,costVarExc,0.46,capaExcResi,100,expExcFix,0
hydrogen,ohio,westVirginia,costVarExc,0.19,capaExcResi,100,expExcFix,0
hydrogen,oklahoma,texas,costVarExc,0.51,capaExcResi,100,expExcFix,0
hydrogen,oregon,washington,costVarExc,0.21,capaExcResi,100,expExcFix,0
hydrogen,oriental,peninsular,costVarExc,0.38,capaExcResi,100,expExcFix,0
hydrogen,pennsylvania,westVirginia,costVarExc,0.41,capaExcResi,100,expExcFix,0
hydrogen,southDakota,wyoming,costVarExc,0.45,capaExcResi,100,expExcFix,0
hydrogen,tennessee,virginia,costVarExc,0.75,capaExcResi,100,expExcFix,0
hydrogen,utah,wyoming,costVarExc,0.53,capaExcResi,100,expExcFix,0
hydrogen,virginia,westVirginia,costVarExc,0.34,capaExcResi,100,expExcFix,0
