timestep_2,carrier_1,region_2,region_2,parameter_1,value_1,parameter_2,value_2
all,power,montana,southDakota,capaExcResi,0,costExpExc,222.9
all,power,nebraska,colorado,capaExcResi,0,costExpExc,222.9
all,power,newHampshire,canada_,capaExcResi,0,costExpExc,222.9
all,power,newMexico,oklahoma,capaExcResi,0,costExpExc,222.9
all,power,newYork,rhodeIsland,capaExcResi,0,costExpExc,222.9
all,power,noroeste,bajaCalifornia,capaExcResi,0,costExpExc,222.9
all,power,noroeste,bajaCaliforniaSur,capaExcResi,0,costExpExc,222.9
all,power,ohio,canada_,capaExcResi,0,costExpExc,222.9
all,power,oklahoma,colorado,capaExcResi,0,costExpExc,222.9
all,power,oklahoma,newMexico,capaExcResi,0,costExpExc,222.9
all,power,rhodeIsland,newYork,capaExcResi,0,costExpExc,222.9
all,power,southDakota,montana,capaExcResi,0,costExpExc,222.9
all,power,wisconsin,canada_,capaExcResi,0,costExpExc,222.9
