region_1,region_2,technology_1,technology_2,timestep_3,parameter,value
usa,idaho,res,wind,q4a,avaConv,0.368169118
usa,montana,res,wind,q1n,avaConv,0.310533333
usa,montana,res,wind,q1m,avaConv,0.185137037
usa,montana,res,wind,q1p,avaConv,0.256402778
usa,montana,res,wind,q1a,avaConv,0.355352778
usa,montana,res,wind,q2n,avaConv,0.2311644
usa,montana,res,wind,q2m,avaConv,0.102166667
usa,montana,res,wind,q2p,avaConv,0.131391667
usa,montana,res,wind,q2a,avaConv,0.243537396
usa,montana,res,wind,q3n,avaConv,0.260647131
usa,montana,res,wind,q3m,avaConv,0.17185348
usa,montana,res,wind,q3p,avaConv,0.214016484
usa,montana,res,wind,q3a,avaConv,0.285596154
usa,montana,res,wind,q4n,avaConv,0.31313831
usa,montana,res,wind,q4m,avaConv,0.211032967
usa,montana,res,wind,q4p,avaConv,0.27109478
usa,montana,res,wind,q4a,avaConv,0.368169118
usa,nevada,res,wind,q1n,avaConv,0.310533333
usa,nevada,res,wind,q1m,avaConv,0.185137037
usa,nevada,res,wind,q1p,avaConv,0.256402778
usa,nevada,res,wind,q1a,avaConv,0.355352778
usa,nevada,res,wind,q2n,avaConv,0.2311644
usa,nevada,res,wind,q2m,avaConv,0.102166667
usa,nevada,res,wind,q2p,avaConv,0.131391667
usa,nevada,res,wind,q2a,avaConv,0.243537396
usa,nevada,res,wind,q3n,avaConv,0.260647131
usa,nevada,res,wind,q3m,avaConv,0.17185348
usa,nevada,res,wind,q3p,avaConv,0.214016484
usa,nevada,res,wind,q3a,avaConv,0.285596154
usa,nevada,res,wind,q4n,avaConv,0.31313831
usa,nevada,res,wind,q4m,avaConv,0.211032967
usa,nevada,res,wind,q4p,avaConv,0.27109478
usa,nevada,res,wind,q4a,avaConv,0.368169118
usa,utah,res,wind,q1n,avaConv,0.310533333
usa,utah,res,wind,q1m,avaConv,0.185137037
usa,utah,res,wind,q1p,avaConv,0.256402778
usa,utah,res,wind,q1a,avaConv,0.355352778
usa,utah,res,wind,q2n,avaConv,0.2311644
usa,utah,res,wind,q2m,avaConv,0.102166667
usa,utah,res,wind,q2p,avaConv,0.131391667
usa,utah,res,wind,q2a,avaConv,0.243537396
usa,utah,res,wind,q3n,avaConv,0.260647131
usa,utah,res,wind,q3m,avaConv,0.17185348
usa,utah,res,wind,q3p,avaConv,0.214016484
usa,utah,res,wind,q3a,avaConv,0.285596154
usa,utah,res,wind,q4n,avaConv,0.31313831
usa,utah,res,wind,q4m,avaConv,0.211032967
usa,utah,res,wind,q4p,avaConv,0.27109478
usa,utah,res,wind,q4a,avaConv,0.368169118
usa,arizona,res,wind,q1n,avaConv,0.310533333
usa,arizona,res,wind,q1m,avaConv,0.185137037
usa,arizona,res,wind,q1p,avaConv,0.256402778
usa,arizona,res,wind,q1a,avaConv,0.355352778
usa,arizona,res,wind,q2n,avaConv,0.2311644
