region_1,region_2,technology_4,timestep_2,parameter,value,comment
mexico,noroeste,resHydroLarge,2035,capaConvResi,1,
mexico,noroeste,resHydroLarge,2040,capaConvResi,0.75,
mexico,noroeste,resHydroLarge,2045,capaConvResi,0.563,
mexico,noroeste,resHydroLarge,2050,capaConvResi,0.422,
mexico,norte,resHydroLarge,2015,capaConvResi,0.158,
mexico,norte,resHydroLarge,2020,capaConvResi,0.119,
mexico,norte,resHydroLarge,2025,capaConvResi,0.089,
mexico,norte,resHydroLarge,2030,capaConvResi,0.067,
mexico,norte,resHydroLarge,2035,capaConvResi,0.05,
mexico,norte,resHydroLarge,2040,capaConvResi,0.038,
mexico,occidental,resHydroLarge,2015,capaConvResi,12.736,
mexico,occidental,resHydroLarge,2020,capaConvResi,23.212,
mexico,occidental,resHydroLarge,2025,capaConvResi,17.409,
mexico,occidental,resHydroLarge,2030,capaConvResi,13.057,
mexico,occidental,resHydroLarge,2035,capaConvResi,9.792,
mexico,occidental,resHydroLarge,2040,capaConvResi,7.344,
mexico,occidental,resHydroLarge,2045,capaConvResi,5.508,
mexico,occidental,resHydroLarge,2050,capaConvResi,4.131,
mexico,oriental,resHydroLarge,2015,capaConvResi,26.023,
mexico,oriental,resHydroLarge,2020,capaConvResi,19.517,
mexico,oriental,resHydroLarge,2025,capaConvResi,14.638,
mexico,oriental,resHydroLarge,2030,capaConvResi,10.979,
mexico,oriental,resHydroLarge,2035,capaConvResi,8.234,
mexico,oriental,resHydroLarge,2040,capaConvResi,6.175,
mexico,oriental,resHydroLarge,2045,capaConvResi,4.632,
mexico,oriental,resHydroLarge,2050,capaConvResi,3.474,
mexico,bajaCaliforniaSur,resPvUtilityOpt,2015,capaConvResi,0.035,
mexico,bajaCaliforniaSur,resPvUtilityOpt,2020,capaConvResi,0.98,
mexico,bajaCaliforniaSur,resPvUtilityOpt,2025,capaConvResi,0.735,
mexico,bajaCaliforniaSur,resPvUtilityOpt,2030,capaConvResi,0.551,
mexico,bajaCaliforniaSur,resPvUtilityOpt,2035,capaConvResi,0.413,
mexico,bajaCaliforniaSur,resPvUtilityOpt,2040,capaConvResi,0.31,
mexico,bajaCaliforniaSur,resPvUtilityOpt,2045,capaConvResi,0.233,
mexico,bajaCaliforniaSur,resPvUtilityOpt,2050,capaConvResi,0.174,
mexico,norte,resPvUtilityOpt,2015,capaConvResi,0.027,
mexico,norte,resPvUtilityOpt,2020,capaConvResi,0.02,
mexico,norte,resPvUtilityOpt,2025,capaConvResi,0.015,
mexico,norte,resPvUtilityOpt,2030,capaConvResi,0.011,
mexico,bajaCalifornia,resWindOnshoreOpt,2015,capaConvResi,0.014,
mexico,bajaCalifornia,resWindOnshoreOpt,2020,capaConvResi,0.011,
mexico,central,resWindOnshoreOpt,2015,capaConvResi,0.021,
mexico,central,resWindOnshoreOpt,2020,capaConvResi,0.016,
mexico,central,resWindOnshoreOpt,2025,capaConvResi,0.012,
mexico,oriental,chpGas,2015,capaConvResi,1.38,
mexico,oriental,chpGas,2020,capaConvResi,1.722,
mexico,oriental,chpGas,2025,capaConvResi,1.292,
mexico,oriental,chpGas,2030,capaConvResi,0.969,
mexico,oriental,chpGas,2035,capaConvResi,0.727,
mexico,oriental,chpGas,2040,capaConvResi,0.545,
mexico,oriental,chpGas,2045,capaConvResi,0.409,
mexico,oriental,chpGas,2050,capaConvResi,0.307,
mexico,noreste,resWindOnshoreOpt,2015,capaConvResi,0.181,
mexico,noreste,resWindOnshoreOpt,2020,capaConvResi,0.136,
mexico,noreste,resWindOnshoreOpt,2025,capaConvResi,0.102,
mexico,noreste,resWindOnshoreOpt,2030,capaConvResi,0.077,
mexico,noreste,resWindOnshoreOpt,2035,capaConvResi,0.057,
mexico,noreste,resWindOnshoreOpt,2040,capaConvResi,0.043,
mexico,noreste,resWindOnshoreOpt,2045,capaConvResi,0.032,
mexico,noreste,resWindOnshoreOpt,2050,capaConvResi,0.024,
mexico,occidental,resWindOnshoreOpt,2015,capaConvResi,0.206,
mexico,occidental,resWindOnshoreOpt,2020,capaConvResi,0.155,
mexico,occidental,resWindOnshoreOpt,2025,capaConvResi,0.116,
mexico,occidental,resWindOnshoreOpt,2030,capaConvResi,0.087,
mexico,occidental,resWindOnshoreOpt,2035,capaConvResi,0.065,
mexico,occidental,resWindOnshoreOpt,2040,capaConvResi,0.049,
mexico,occidental,resWindOnshoreOpt,2045,capaConvResi,0.037,
mexico,occidental,resWindOnshoreOpt,2050,capaConvResi,0.027,
mexico,peninsular,chpGas,2015,capaConvResi,0.022,
mexico,oriental,resWindOnshoreOpt,2015,capaConvResi,3.01,
mexico,oriental,resWindOnshoreOpt,2020,capaConvResi,2.257,
mexico,oriental,resWindOnshoreOpt,2025,capaConvResi,1.693,
mexico,oriental,resWindOnshoreOpt,2030,capaConvResi,1.27,
mexico,oriental,resWindOnshoreOpt,2035,capaConvResi,0.952,
mexico,oriental,resWindOnshoreOpt,2040,capaConvResi,0.714,
mexico,oriental,resWindOnshoreOpt,2045,capaConvResi,0.536,
mexico,oriental,resWindOnshoreOpt,2050,capaConvResi,0.402,
mexico,bajaCalifornia,hhtBiomass,2015,capaConvResi,0.066,
mexico,bajaCalifornia,hhtBiomass,2020,capaConvResi,0.049,
mexico,bajaCalifornia,hhtBiomass,2025,capaConvResi,0.037,
mexico,bajaCalifornia,hhtBiomass,2030,capaConvResi,0.028,
mexico,bajaCalifornia,hhtBiomass,2035,capaConvResi,0.021,
mexico,bajaCaliforniaSur,hhtBiomass,2015,capaConvResi,0.017,
mexico,bajaCaliforniaSur,hhtBiomass,2020,capaConvResi,0.013,
mexico,central,hhtBiomass,2015,capaConvResi,0.727,
mexico,central,hhtBiomass,2020,capaConvResi,0.545,
mexico,central,hhtBiomass,2025,capaConvResi,0.409,
mexico,central,hhtBiomass,2030,capaConvResi,0.307,
mexico,central,hhtBiomass,2035,capaConvResi,0.23,
mexico,noreste,hhtBiomass,2015,capaConvResi,0.342,
mexico,noreste,hhtBiomass,2020,capaConvResi,0.257,
mexico,noreste,hhtBiomass,2025,capaConvResi,0.192,
mexico,noreste,hhtBiomass,2030,capaConvResi,0.144,
mexico,noreste,hhtBiomass,2035,capaConvResi,0.108,
mexico,noroeste,hhtBiomass,2015,capaConvResi,0.111,
mexico,noroeste,hhtBiomass,2020,capaConvResi,0.083,
mexico,noroeste,hhtBiomass,2025,capaConvResi,0.063,
mexico,noroeste,hhtBiomass,2030,capaConvResi,0.047,
mexico,noroeste,hhtBiomass,2035,capaConvResi,0.035,
mexico,norte,hhtBiomass,2015,capaConvResi,0.164,
mexico,norte,hhtBiomass,2020,capaConvResi,0.123,
mexico,norte,hhtBiomass,2025,capaConvResi,0.092,
mexico,norte,hhtBiomass,2030,capaConvResi,0.069,
mexico,norte,hhtBiomass,2035,capaConvResi,0.052,
mexico,occidental,hhtBiomass,2015,capaConvResi,0.362,
mexico,occidental,hhtBiomass,2020,capaConvResi,0.272,
mexico,occidental,hhtBiomass,2025,capaConvResi,0.204,
mexico,occidental,hhtBiomass,2030,capaConvResi,0.153,
mexico,occidental,hhtBiomass,2035,capaConvResi,0.115,
mexico,oriental,hhtBiomass,2015,capaConvResi,0.246,
mexico,oriental,hhtBiomass,2020,capaConvResi,0.185,
mexico,oriental,hhtBiomass,2025,capaConvResi,0.139,
mexico,oriental,hhtBiomass,2030,capaConvResi,0.104,
mexico,oriental,hhtBiomass,2035,capaConvResi,0.078,
mexico,peninsular,hhtBiomass,2015,capaConvResi,0.159,
mexico,peninsular,hhtBiomass,2020,capaConvResi,0.119,
mexico,peninsular,hhtBiomass,2025,capaConvResi,0.089,
mexico,peninsular,hhtBiomass,2030,capaConvResi,0.067,
mexico,peninsular,hhtBiomass,2035,capaConvResi,0.05,
mexico,bajaCalifornia,hhtHardcoal,2015,capaConvResi,0.484,
mexico,bajaCalifornia,hhtHardcoal,2020,capaConvResi,0.363,
mexico,bajaCalifornia,hhtHardcoal,2025,capaConvResi,0.272,
mexico,bajaCalifornia,hhtHardcoal,2030,capaConvResi,0.204,
mexico,bajaCalifornia,hhtHardcoal,2035,capaConvResi,0.153,
mexico,bajaCaliforniaSur,hhtHardcoal,2015,capaConvResi,0.122,
mexico,bajaCaliforniaSur,hhtHardcoal,2020,capaConvResi,0.092,
mexico,bajaCaliforniaSur,hhtHardcoal,2025,capaConvResi,0.069,
mexico,bajaCaliforniaSur,hhtHardcoal,2030,capaConvResi,0.052,
mexico,bajaCaliforniaSur,hhtHardcoal,2035,capaConvResi,0.039,
mexico,central,hhtHardcoal,2015,capaConvResi,5.383,
mexico,central,hhtHardcoal,2020,capaConvResi,4.037,
mexico,central,hhtHardcoal,2025,capaConvResi,3.028,
mexico,central,hhtHardcoal,2030,capaConvResi,2.271,
mexico,central,hhtHardcoal,2035,capaConvResi,1.703,
mexico,noreste,hhtHardcoal,2015,capaConvResi,2.53,
mexico,noreste,hhtHardcoal,2020,capaConvResi,1.898,
mexico,noreste,hhtHardcoal,2025,capaConvResi,1.423,
mexico,noreste,hhtHardcoal,2030,capaConvResi,1.067,
mexico,noreste,hhtHardcoal,2035,capaConvResi,0.801,
mexico,noroeste,hhtHardcoal,2015,capaConvResi,0.817,
mexico,noroeste,hhtHardcoal,2020,capaConvResi,0.613,
mexico,noroeste,hhtHardcoal,2025,capaConvResi,0.46,
mexico,noroeste,hhtHardcoal,2030,capaConvResi,0.345,
mexico,noroeste,hhtHardcoal,2035,capaConvResi,0.259,
mexico,norte,hhtHardcoal,2015,capaConvResi,1.214,
mexico,norte,hhtHardcoal,2020,capaConvResi,0.911,
mexico,norte,hhtHardcoal,2025,capaConvResi,0.683,
mexico,norte,hhtHardcoal,2030,capaConvResi,0.512,
mexico,norte,hhtHardcoal,2035,capaConvResi,0.384,
mexico,occidental,hhtHardcoal,2015,capaConvResi,2.681,
mexico,occidental,hhtHardcoal,2020,capaConvResi,2.011,
mexico,occidental,hhtHardcoal,2025,capaConvResi,1.508,
mexico,occidental,hhtHardcoal,2030,capaConvResi,1.131,
mexico,occidental,hhtHardcoal,2035,capaConvResi,0.848,
mexico,oriental,hhtHardcoal,2015,capaConvResi,1.821,
mexico,oriental,hhtHardcoal,2020,capaConvResi,1.366,
mexico,oriental,hhtHardcoal,2025,capaConvResi,1.025,
mexico,oriental,hhtHardcoal,2030,capaConvResi,0.768,
mexico,oriental,hhtHardcoal,2035,capaConvResi,0.576,
mexico,peninsular,hhtHardcoal,2015,capaConvResi,1.179,
mexico,peninsular,hhtHardcoal,2020,capaConvResi,0.884,
mexico,peninsular,hhtHardcoal,2025,capaConvResi,0.663,
mexico,peninsular,hhtHardcoal,2030,capaConvResi,0.497,
mexico,peninsular,hhtHardcoal,2035,capaConvResi,0.373,
mexico,bajaCalifornia,hhtGas,2015,capaConvResi,0.572,
mexico,bajaCalifornia,hhtGas,2020,capaConvResi,0.429,
mexico,bajaCalifornia,hhtGas,2025,capaConvResi,0.322,
mexico,bajaCalifornia,hhtGas,2030,capaConvResi,0.241,
mexico,bajaCalifornia,hhtGas,2035,capaConvResi,0.181,
mexico,bajaCaliforniaSur,hhtGas,2015,capaConvResi,0.145,
mexico,bajaCaliforniaSur,hhtGas,2020,capaConvResi,0.108,
mexico,bajaCaliforniaSur,hhtGas,2025,capaConvResi,0.081,
mexico,bajaCaliforniaSur,hhtGas,2030,capaConvResi,0.061,
mexico,bajaCaliforniaSur,hhtGas,2035,capaConvResi,0.046,
mexico,central,hhtGas,2015,capaConvResi,6.368,
mexico,central,hhtGas,2020,capaConvResi,4.776,
mexico,central,hhtGas,2025,capaConvResi,3.582,
mexico,central,hhtGas,2030,capaConvResi,2.686,
mexico,central,hhtGas,2035,capaConvResi,2.015,
mexico,noreste,hhtGas,2015,capaConvResi,2.992,
mexico,noreste,hhtGas,2020,capaConvResi,2.244,
mexico,noreste,hhtGas,2025,capaConvResi,1.683,
mexico,noreste,hhtGas,2030,capaConvResi,1.262,
mexico,noreste,hhtGas,2035,capaConvResi,0.947,
mexico,noroeste,hhtGas,2015,capaConvResi,0.966,
mexico,noroeste,hhtGas,2020,capaConvResi,0.725,
mexico,noroeste,hhtGas,2025,capaConvResi,0.544,
mexico,noroeste,hhtGas,2030,capaConvResi,0.408,
mexico,noroeste,hhtGas,2035,capaConvResi,0.306,
mexico,norte,hhtGas,2015,capaConvResi,1.436,
mexico,norte,hhtGas,2020,capaConvResi,1.077,
mexico,norte,hhtGas,2025,capaConvResi,0.808,
mexico,norte,hhtGas,2030,capaConvResi,0.606,
mexico,norte,hhtGas,2035,capaConvResi,0.454,
mexico,occidental,hhtGas,2015,capaConvResi,3.172,
mexico,occidental,hhtGas,2020,capaConvResi,2.379,
mexico,occidental,hhtGas,2025,capaConvResi,1.784,
mexico,occidental,hhtGas,2030,capaConvResi,1.338,
mexico,occidental,hhtGas,2035,capaConvResi,1.004,
mexico,oriental,hhtGas,2015,capaConvResi,2.155,
mexico,oriental,hhtGas,2020,capaConvResi,1.616,
mexico,oriental,hhtGas,2025,capaConvResi,1.212,
mexico,oriental,hhtGas,2030,capaConvResi,0.909,
mexico,oriental,hhtGas,2035,capaConvResi,0.682,
mexico,peninsular,hhtGas,2015,capaConvResi,1.393,
mexico,peninsular,hhtGas,2020,capaConvResi,1.045,
mexico,peninsular,hhtGas,2025,capaConvResi,0.784,
mexico,peninsular,hhtGas,2030,capaConvResi,0.588,
mexico,peninsular,hhtGas,2035,capaConvResi,0.441,
mexico,bajaCalifornia,hhtOil,2015,capaConvResi,0.387,
mexico,bajaCalifornia,hhtOil,2020,capaConvResi,0.29,
mexico,bajaCalifornia,hhtOil,2025,capaConvResi,0.218,
mexico,bajaCalifornia,hhtOil,2030,capaConvResi,0.163,
mexico,bajaCalifornia,hhtOil,2035,capaConvResi,0.122,
mexico,bajaCaliforniaSur,hhtOil,2015,capaConvResi,0.098,
mexico,bajaCaliforniaSur,hhtOil,2020,capaConvResi,0.073,
mexico,bajaCaliforniaSur,hhtOil,2025,capaConvResi,0.055,
mexico,bajaCaliforniaSur,hhtOil,2030,capaConvResi,0.041,
mexico,bajaCaliforniaSur,hhtOil,2035,capaConvResi,0.031,
mexico,central,hhtOil,2015,capaConvResi,4.302,
mexico,central,hhtOil,2020,capaConvResi,3.227,
mexico,central,hhtOil,2025,capaConvResi,2.42,
mexico,central,hhtOil,2030,capaConvResi,1.815,
mexico,central,hhtOil,2035,capaConvResi,1.361,
mexico,noreste,hhtOil,2015,capaConvResi,2.022,
mexico,noreste,hhtOil,2020,capaConvResi,1.517,
mexico,noreste,hhtOil,2025,capaConvResi,1.138,
mexico,noreste,hhtOil,2030,capaConvResi,0.853,
mexico,noreste,hhtOil,2035,capaConvResi,0.64,
mexico,noroeste,hhtOil,2015,capaConvResi,0.654,
mexico,noroeste,hhtOil,2020,capaConvResi,0.491,
mexico,noroeste,hhtOil,2025,capaConvResi,0.368,
mexico,noroeste,hhtOil,2030,capaConvResi,0.276,
mexico,noroeste,hhtOil,2035,capaConvResi,0.207,
mexico,norte,hhtOil,2015,capaConvResi,0.971,
mexico,norte,hhtOil,2020,capaConvResi,0.728,
mexico,norte,hhtOil,2025,capaConvResi,0.546,
mexico,norte,hhtOil,2030,capaConvResi,0.409,
mexico,norte,hhtOil,2035,capaConvResi,0.307,
mexico,occidental,hhtOil,2015,capaConvResi,2.144,
mexico,occidental,hhtOil,2020,capaConvResi,1.608,
mexico,occidental,hhtOil,2025,capaConvResi,1.206,
mexico,occidental,hhtOil,2030,capaConvResi,0.904,
mexico,occidental,hhtOil,2035,capaConvResi,0.678,
mexico,oriental,hhtOil,2015,capaConvResi,1.456,
mexico,oriental,hhtOil,2020,capaConvResi,1.092,
mexico,oriental,hhtOil,2025,capaConvResi,0.819,
mexico,oriental,hhtOil,2030,capaConvResi,0.614,
mexico,oriental,hhtOil,2035,capaConvResi,0.461,
mexico,peninsular,hhtOil,2015,capaConvResi,0.941,
mexico,peninsular,hhtOil,2020,capaConvResi,0.706,
mexico,peninsular,hhtOil,2025,capaConvResi,0.529,
mexico,peninsular,hhtOil,2030,capaConvResi,0.397,
mexico,peninsular,hhtOil,2035,capaConvResi,0.298,
mexico,bajaCalifornia,resPvUtilityOpt,2015,capaConvResi,0.086,
mexico,bajaCalifornia,resPvUtilityOpt,2020,capaConvResi,0.064,
mexico,bajaCalifornia,resPvUtilityOpt,2025,capaConvResi,0.048,
mexico,bajaCalifornia,resPvUtilityOpt,2030,capaConvResi,0.036,
mexico,bajaCalifornia,resPvUtilityOpt,2035,capaConvResi,0.027,
mexico,bajaCalifornia,resPvUtilityOpt,2040,capaConvResi,0.02,
mexico,bajaCalifornia,resPvUtilityOpt,2045,capaConvResi,0.015,
mexico,bajaCalifornia,resPvUtilityOpt,2050,capaConvResi,0.011,
mexico,occidental,pHardcoal,2015,capaConvResi,6.033,
mexico,occidental,pHardcoal,2020,capaConvResi,5.128,
mexico,occidental,pHardcoal,2025,capaConvResi,4.359,
mexico,occidental,pHardcoal,2030,capaConvResi,3.705,
mexico,occidental,pHardcoal,2035,capaConvResi,3.149,
mexico,occidental,pHardcoal,2040,capaConvResi,2.677,
mexico,oriental,resGeothermal,2015,capaConvResi,0.239,
mexico,oriental,resGeothermal,2020,capaConvResi,0.179,
mexico,oriental,resGeothermal,2025,capaConvResi,0.134,
mexico,oriental,resGeothermal,2030,capaConvResi,0.101,
mexico,oriental,resGeothermal,2035,capaConvResi,0.076,
mexico,oriental,resGeothermal,2040,capaConvResi,0.057,
mexico,oriental,resGeothermal,2045,capaConvResi,0.042,
mexico,oriental,resGeothermal,2050,capaConvResi,0.032,
