region_2,technology_4,timestep_2,parameter,value
louisiana,hltGas,2020,capaConvResi,3.4718
maine,hltGas,2020,capaConvResi,3.9286
maryland,hltGas,2020,capaConvResi,3.4581
massachusetts,hltGas,2020,capaConvResi,15.3315
michigan,hltGas,2020,capaConvResi,10.9676
minnesota,hltGas,2020,capaConvResi,6.1011
mississippi,hltGas,2020,capaConvResi,1.1488
missouri,hltGas,2020,capaConvResi,6.9894
montana,hltGas,2020,capaConvResi,1.9333
nebraska,hltGas,2020,capaConvResi,2.0885
nevada,hltGas,2020,capaConvResi,2.4217
newHampshire,hltGas,2020,capaConvResi,3.3542
newJersey,hltGas,2020,capaConvResi,14.8397
newMexico,hltGas,2020,capaConvResi,1.8316
newYork,hltGas,2020,capaConvResi,33.8922
northCarolina,hltGas,2020,capaConvResi,6.3822
northDakota,hltGas,2020,capaConvResi,0.9245
ohio,hltGas,2020,capaConvResi,12.4291
oklahoma,hltGas,2020,capaConvResi,2.932
oregon,hltGas,2020,capaConvResi,3.2313
pennsylvania,hltGas,2020,capaConvResi,23.137
rhodeIsland,hltGas,2020,capaConvResi,2.4926
southCarolina,hltGas,2020,capaConvResi,3.1385
southDakota,hltGas,2020,capaConvResi,0.9691
tennessee,hltGas,2020,capaConvResi,2.5546
texas,hltGas,2020,capaConvResi,18.1479
utah,hltGas,2020,capaConvResi,4.062
vermont,hltGas,2020,capaConvResi,1.7609
virginia,hltGas,2020,capaConvResi,4.9292
washington,hltGas,2020,capaConvResi,5.6278
westVirginia,hltGas,2020,capaConvResi,2.0524
wisconsin,hltGas,2020,capaConvResi,6.4047
wyoming,hltGas,2020,capaConvResi,1.0542
alabama,hltGas,2025,capaConvResi,1.4696
arizona,hltGas,2025,capaConvResi,4.4018
arkansas,hltGas,2025,capaConvResi,1.7328
california,hltGas,2025,capaConvResi,19.7381
colorado,hltGas,2025,capaConvResi,6.7797
connecticut,hltGas,2025,capaConvResi,3.944
delaware,hltGas,2025,capaConvResi,0.4496
florida,hltGas,2025,capaConvResi,9.8157
georgia,hltGas,2025,capaConvResi,4.457
idaho,hltGas,2025,capaConvResi,2.033
illinois,hltGas,2025,capaConvResi,9.6134
indiana,hltGas,2025,capaConvResi,5.1365
iowa,hltGas,2025,capaConvResi,2.6148
kansas,hltGas,2025,capaConvResi,2.3934
kentucky,hltGas,2025,capaConvResi,1.2969
louisiana,hltGas,2025,capaConvResi,2.6038
maine,hltGas,2025,capaConvResi,2.9465
maryland,hltGas,2025,capaConvResi,2.5936
massachusetts,hltGas,2025,capaConvResi,11.4986
michigan,hltGas,2025,capaConvResi,8.2257
minnesota,hltGas,2025,capaConvResi,4.5759
mississippi,hltGas,2025,capaConvResi,0.8616
missouri,hltGas,2025,capaConvResi,5.2421
montana,hltGas,2025,capaConvResi,1.45
nebraska,hltGas,2025,capaConvResi,1.5664
nevada,hltGas,2025,capaConvResi,1.8163
newHampshire,hltGas,2025,capaConvResi,2.5157
newJersey,hltGas,2025,capaConvResi,11.1298
newMexico,hltGas,2025,capaConvResi,1.3737
newYork,hltGas,2025,capaConvResi,25.4192
northCarolina,hltGas,2025,capaConvResi,4.7867
northDakota,hltGas,2025,capaConvResi,0.6934
ohio,hltGas,2025,capaConvResi,9.3218
oklahoma,hltGas,2025,capaConvResi,2.199
oregon,hltGas,2025,capaConvResi,2.4235
pennsylvania,hltGas,2025,capaConvResi,17.3528
rhodeIsland,hltGas,2025,capaConvResi,1.8695
southCarolina,hltGas,2025,capaConvResi,2.3539
southDakota,hltGas,2025,capaConvResi,0.7268
tennessee,hltGas,2025,capaConvResi,1.916
texas,hltGas,2025,capaConvResi,13.6109
utah,hltGas,2025,capaConvResi,3.0465
vermont,hltGas,2025,capaConvResi,1.3207
virginia,hltGas,2025,capaConvResi,3.6969
washington,hltGas,2025,capaConvResi,4.2209
westVirginia,hltGas,2025,capaConvResi,1.5393
wisconsin,hltGas,2025,capaConvResi,4.8035
wyoming,hltGas,2025,capaConvResi,0.7907
alabama,hltGas,2030,capaConvResi,0.9798
arizona,hltGas,2030,capaConvResi,2.9346
arkansas,hltGas,2030,capaConvResi,1.1552
california,hltGas,2030,capaConvResi,13.1588
colorado,hltGas,2030,capaConvResi,4.5198
connecticut,hltGas,2030,capaConvResi,2.6294
delaware,hltGas,2030,capaConvResi,0.2997
florida,hltGas,2030,capaConvResi,6.5438
georgia,hltGas,2030,capaConvResi,2.9714
idaho,hltGas,2030,capaConvResi,1.3554
illinois,hltGas,2030,capaConvResi,6.4089
indiana,hltGas,2030,capaConvResi,3.4244
iowa,hltGas,2030,capaConvResi,1.7432
kansas,hltGas,2030,capaConvResi,1.5956
kentucky,hltGas,2030,capaConvResi,0.8646
louisiana,hltGas,2030,capaConvResi,1.7359
maine,hltGas,2030,capaConvResi,1.9643
maryland,hltGas,2030,capaConvResi,1.7291
massachusetts,hltGas,2030,capaConvResi,7.6658
michigan,hltGas,2030,capaConvResi,5.4838
minnesota,hltGas,2030,capaConvResi,3.0506
mississippi,hltGas,2030,capaConvResi,0.5744
missouri,hltGas,2030,capaConvResi,3.4947
montana,hltGas,2030,capaConvResi,0.9667
nebraska,hltGas,2030,capaConvResi,1.0443
nevada,hltGas,2030,capaConvResi,1.2109
newHampshire,hltGas,2030,capaConvResi,1.6771
newJersey,hltGas,2030,capaConvResi,7.4199
newMexico,hltGas,2030,capaConvResi,0.9158
newYork,hltGas,2030,capaConvResi,16.9461
northCarolina,hltGas,2030,capaConvResi,3.1911
northDakota,hltGas,2030,capaConvResi,0.4623
ohio,hltGas,2030,capaConvResi,6.2146
oklahoma,hltGas,2030,capaConvResi,1.466
oregon,hltGas,2030,capaConvResi,1.6157
pennsylvania,hltGas,2030,capaConvResi,11.5685
rhodeIsland,hltGas,2030,capaConvResi,1.2463
