region_2,carrier_1,timestep_2,technology_1,technology_2,parameter,value
kansas,mobilityFreight,2035,frtRail,,genLow,38894.4
kansas,mobilityFreight,2040,frtRail,,genLow,42748.8
kansas,mobilityFreight,2045,frtRail,,genLow,46953.6
kansas,mobilityFreight,2050,frtRail,,genLow,51508.8
kentucky,mobilityFreight,2015,frtRail,,genLow,24703.2
kentucky,mobilityFreight,2020,frtRail,,genLow,27156
kentucky,mobilityFreight,2025,frtRail,,genLow,29959.2
kentucky,mobilityFreight,2030,frtRail,,genLow,32762.4
kentucky,mobilityFreight,2035,frtRail,,genLow,36091.2
kentucky,mobilityFreight,2040,frtRail,,genLow,39770.4
kentucky,mobilityFreight,2045,frtRail,,genLow,43449.6
kentucky,mobilityFreight,2050,frtRail,,genLow,47829.6
louisiana,mobilityFreight,2015,frtRail,,genLow,51508.8
louisiana,mobilityFreight,2020,frtRail,,genLow,56589.6
louisiana,mobilityFreight,2025,frtRail,,genLow,62196
louisiana,mobilityFreight,2030,frtRail,,genLow,68328
louisiana,mobilityFreight,2035,frtRail,,genLow,74985.6
louisiana,mobilityFreight,2040,frtRail,,genLow,82519.2
louisiana,mobilityFreight,2045,frtRail,,genLow,90578.4
louisiana,mobilityFreight,2050,frtRail,,genLow,99513.6
maine,mobilityFreight,2015,frtRail,,genLow,1401.6
maine,mobilityFreight,2020,frtRail,,genLow,1401.6
maine,mobilityFreight,2025,frtRail,,genLow,1576.8
maine,mobilityFreight,2030,frtRail,,genLow,1752
maine,mobilityFreight,2035,frtRail,,genLow,1927.2
maine,mobilityFreight,2040,frtRail,,genLow,2277.6
maine,mobilityFreight,2045,frtRail,,genLow,2452.8
maine,mobilityFreight,2050,frtRail,,genLow,2628
maryland,mobilityFreight,2015,frtRail,,genLow,8059.2
maryland,mobilityFreight,2020,frtRail,,genLow,8935.2
maryland,mobilityFreight,2025,frtRail,,genLow,9811.2
maryland,mobilityFreight,2030,frtRail,,genLow,10687.2
maryland,mobilityFreight,2035,frtRail,,genLow,11738.4
maryland,mobilityFreight,2040,frtRail,,genLow,12964.8
maryland,mobilityFreight,2045,frtRail,,genLow,14191.2
maryland,mobilityFreight,2050,frtRail,,genLow,15768
massachusetts,mobilityFreight,2015,frtRail,,genLow,4029.6
massachusetts,mobilityFreight,2020,frtRail,,genLow,4380
massachusetts,mobilityFreight,2025,frtRail,,genLow,4905.6
massachusetts,mobilityFreight,2030,frtRail,,genLow,5431.2
massachusetts,mobilityFreight,2035,frtRail,,genLow,5956.8
massachusetts,mobilityFreight,2040,frtRail,,genLow,6482.4
massachusetts,mobilityFreight,2045,frtRail,,genLow,7183.2
massachusetts,mobilityFreight,2050,frtRail,,genLow,7884
michigan,mobilityFreight,2015,frtRail,,genLow,42398.4
michigan,mobilityFreight,2020,frtRail,,genLow,46603.2
michigan,mobilityFreight,2025,frtRail,,genLow,51333.6
michigan,mobilityFreight,2030,frtRail,,genLow,56239.2
michigan,mobilityFreight,2035,frtRail,,genLow,61845.6
michigan,mobilityFreight,2040,frtRail,,genLow,67977.6
michigan,mobilityFreight,2045,frtRail,,genLow,74810.4
michigan,mobilityFreight,2050,frtRail,,genLow,81993.6
minnesota,mobilityFreight,2015,frtRail,,genLow,53260.8
minnesota,mobilityFreight,2020,frtRail,,genLow,58516.8
minnesota,mobilityFreight,2025,frtRail,,genLow,64298.4
minnesota,mobilityFreight,2030,frtRail,,genLow,70780.8
minnesota,mobilityFreight,2035,frtRail,,genLow,77788.8
minnesota,mobilityFreight,2040,frtRail,,genLow,85322.4
minnesota,mobilityFreight,2045,frtRail,,genLow,93907.2
minnesota,mobilityFreight,2050,frtRail,,genLow,103017.6
mississippi,mobilityFreight,2015,frtRail,,genLow,6657.6
mississippi,mobilityFreight,2020,frtRail,,genLow,7358.4
mississippi,mobilityFreight,2025,frtRail,,genLow,8059.2
mississippi,mobilityFreight,2030,frtRail,,genLow,8935.2
mississippi,mobilityFreight,2035,frtRail,,genLow,9811.2
mississippi,mobilityFreight,2040,frtRail,,genLow,10862.4
mississippi,mobilityFreight,2045,frtRail,,genLow,11913.6
mississippi,mobilityFreight,2050,frtRail,,genLow,13140
missouri,mobilityFreight,2015,frtRail,,genLow,30835.2
missouri,mobilityFreight,2020,frtRail,,genLow,33988.8
missouri,mobilityFreight,2025,frtRail,,genLow,37317.6
missouri,mobilityFreight,2030,frtRail,,genLow,40996.8
missouri,mobilityFreight,2035,frtRail,,genLow,45026.4
